date,timestamp,voltage,current,power,energy,frequency,power_factor,alarm,std_voltage`,std_current,std_power,std_energy,std_frequency,std_power_factor,std_alarm
23/08/2023,10:58:00,244.3,0.09,5.55,4254,50,0.25,0,0,0.03,2.65,0,0,0.02,0
23/08/2023,10:58:01,244.29,0.14,9.49,4254,50,0.29,0,0.03,0.01,1.21,0,0,0.01,0
23/08/2023,10:58:02,244.2,0.09,5.1,4254,50,0.24,0,0,0,0,0,0,0,0
23/08/2023,10:58:03,244.2,0.09,5.1,4254,50,0.24,0,0,0,0,0,0,0,0
23/08/2023,10:58:04,244.2,0.09,5.04,4254,50,0.24,0,0,0,0.05,0,0,0,0
23/08/2023,10:58:05,244.19,0.09,5,4254,50,0.24,0,0.04,0,0,0,0,0,0
23/08/2023,10:58:06,244.1,0.09,5,4254,50,0.24,0,0,0,0,0,0,0,0
23/08/2023,10:58:07,244.1,0.09,5.75,4254,50,0.26,0,0,0,0.21,0,0,0.01,0
23/08/2023,10:58:08,244.17,0.09,6,4254,50,0.27,0,0.05,0,0.15,0,0,0,0
23/08/2023,10:58:09,244.2,0.09,5.59,4254,50,0.26,0,0,0,0.57,0,0,0.02,0
23/08/2023,10:58:10,244.2,0.09,5,4254,50,0.24,0,0,0,0,0,0,0,0
23/08/2023,10:58:11,244.1,0.09,5.8,4254,50,0.26,0,0,0,0,0,0,0,0
23/08/2023,10:58:12,244.1,0.09,6.2,4254,50,0.28,0,0,0,0.21,0,0,0.01,0
23/08/2023,10:58:13,244.05,0.1,6.89,4254,50,0.3,0,0.05,0,0.57,0,0,0.02,0
23/08/2023,10:58:14,244,0.11,9.3,4254,50,0.34,0,0,0.02,2.78,0,0,0.05,0
23/08/2023,10:58:15,244,0.13,13.1,4254,50,0.41,0,0,0,0,0,0,0,0
23/08/2023,10:58:16,244,0.14,15.96,4254,50,0.45,0,0,0.01,1.16,0,0,0.02,0
23/08/2023,10:58:17,244,0.14,16.13,4254,50,0.46,0,0,0,0.2,0,0,0,0
23/08/2023,10:58:18,244.08,0.14,16.04,4254,50,0.46,0,0.1,0,0.05,0,0,0.01,0
23/08/2023,10:58:19,244.2,0.14,16.06,4254,50,0.45,0,0,0,0.11,0,0,0,0
23/08/2023,10:58:20,244.2,0.14,15.8,4254,50,0.46,0,0,0,0,0,0,0,0
23/08/2023,10:58:21,244.27,0.14,15.99,4254,50,0.45,0,0.05,0,0.05,0,0,0,0
23/08/2023,10:58:22,244.3,0.14,15.95,4254.27,50,0.45,0,0,0,0.05,0.46,0,0.01,0
23/08/2023,10:58:23,244.22,1.11,216.89,4255,50,0.56,0,0.14,1.65,345,0,0,0.17,0
23/08/2023,10:58:24,243.99,3.73,769.6,4255,50,0.85,0,0.03,0.08,0,0,0,0.02,0
23/08/2023,10:58:25,243.9,3.43,769.6,4255,50,0.92,0,0,0,0,0,0,0,0
23/08/2023,10:58:26,244.07,3.62,823.33,4255.07,50,0.93,0,0.07,0.08,21.82,0.26,0,0,0
23/08/2023,10:58:27,244.05,3.74,855.45,4256,50,0.93,0,0.05,0.1,26.39,0,0,0.01,0
23/08/2023,10:58:28,243.97,3.89,894.65,4256,50,0.94,0,0.05,0.08,20.51,0,0,0,0
23/08/2023,10:58:29,243.9,4.02,929.49,4256,50,0.95,0,0,0.03,7.69,0,0,0,0
23/08/2023,10:58:30,243.9,4.13,957.3,4256.27,50,0.95,0,0,0,0,0.46,0,0,0
23/08/2023,10:58:31,243.81,4.22,978.88,4257,50,0.95,0,0.04,0.04,8.76,0,0,0,0
23/08/2023,10:58:32,243.8,4.27,991.4,4257,50,0.95,0,0,0.05,11.66,0,0,0,0
