date,time,voltage,current,power,energy,frequency,power_factor,alarm,std_voltage,std_current,std_power,std_energy,std_frequency,std_power_factor,std_alarm
14/09/2023,22:04:42,242.2,0.34,74,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:04:43,242.2,0.34,72.67,5669,50,1,0,0,0,0.98,0,0,0,0
14/09/2023,22:04:44,242.17,0.34,71.97,5669,50,1,0,0.07,0,0.07,0,0,0,0
14/09/2023,22:04:45,242,0.34,71.8,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:04:46,242,0.34,71.88,5669,50,1,0,0,0,0.04,0,0,0,0
14/09/2023,22:04:47,242,0.36,76.22,5669,50,1,0,0,0.02,5.48,0,0,0.02,0
14/09/2023,22:04:48,242,0.38,82.65,5669,50,1,0,0,0,0.21,0,0,0.01,0
14/09/2023,22:04:49,242,0.39,81.9,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:04:50,241.95,0.41,89.26,5669,50,1,0,0.05,0.03,7.13,0,0,0.01,0
14/09/2023,22:04:51,241.93,0.43,93.75,5669,50,1,0,0.07,0.02,5.14,0,0,0,0
14/09/2023,22:04:51,242.1,0.38,81.1,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:04:52,242.02,0.36,77.58,5669,50,1,0,0.04,0.01,1.82,0,0,0,0
14/09/2023,22:04:53,242,0.35,75.39,5669,50,1,0,0,0.01,1.45,0,0,0,0
14/09/2023,22:04:54,242,0.34,73.9,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:04:55,242,0.35,74.18,5669,50,1,0,0,0,0.08,0,0,0,0
14/09/2023,22:04:56,242,0.34,73.18,5669,50,1,0,0,0,0.86,0,0,0,0
14/09/2023,22:04:57,241.98,0.34,72.96,5669,50,1,0,0.04,0,0.95,0,0,0,0
14/09/2023,22:04:58,241.9,0.35,74.8,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:04:59,241.99,0.34,73.33,5669,50,1,0,0.04,0,0.6,0,0,0,0
14/09/2023,22:05:00,242,0.36,79.71,5669,50,1,0,0,0.03,6.4,0,0,0.05,0
14/09/2023,22:05:01,242,0.4,85.5,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:02,242,0.39,83,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:02,241.94,0.37,79.88,5669,50,1,0,0.05,0.01,2.64,0,0,0,0
14/09/2023,22:05:03,241.93,0.35,76.33,5669,50,1,0,0.05,0.01,2.52,0,0,0,0
14/09/2023,22:05:04,242,0.34,72.3,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:05,242,0.34,71.55,5669,50,1,0,0,0,0.21,0,0,0,0
14/09/2023,22:05:06,242,0.34,71.66,5669,50,1,0,0,0,0.2,0,0,0,0
14/09/2023,22:05:07,242,0.34,71.9,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:08,241.9,0.34,73.9,5669,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:09,241.97,0.37,79.37,5669,50,1,0,0.05,0.02,4,0,0,0,0
14/09/2023,22:05:10,242,0.4,84.97,5669,50,1,0,0,0.02,4.2,0,0,0,0
14/09/2023,22:05:11,242,0.42,90.7,5669.2,50,1,0,0,0,0,0.41,0,0,0
14/09/2023,22:05:12,242,0.43,91.34,5670,50,1,0,0,0,0.33,0,0,0,0
14/09/2023,22:05:13,241.96,0.41,87.66,5670,50,1,0,0.05,0.03,4.87,0,0,0.01,0
14/09/2023,22:05:13,241.9,0.38,81.46,5670,50,1,0,0,0.01,1.7,0,0,0.01,0
14/09/2023,22:05:14,241.9,0.35,75.3,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:15,241.83,0.36,76.69,5670,50,1,0,0.05,0,0.87,0,0,0,0
14/09/2023,22:05:16,241.8,0.37,78.21,5670,50,1,0,0,0.01,2.67,0,0,0,0
14/09/2023,22:05:17,241.8,0.39,84.8,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:18,241.88,0.36,76.72,5670,50,1,0,0.04,0.02,4.18,0,0,0,0
14/09/2023,22:05:19,241.95,0.38,81.47,5670,50,1,0,0.05,0.03,7.49,0,0,0.01,0
14/09/2023,22:05:20,241.99,0.41,89.19,5670,50,1,0,0.04,0,0.04,0,0,0,0
14/09/2023,22:05:21,241.9,0.42,89.1,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:22,241.98,0.43,92.62,5670,50,1,0,0.04,0.01,1.82,0,0,0,0
14/09/2023,22:05:23,242,0.43,91.64,5670,50,1,0,0,0.02,3.85,0,0,0,0
14/09/2023,22:05:24,242,0.39,84.2,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:24,242,0.39,83.07,5670,50,1,0,0,0,0.46,0,0,0.01,0
14/09/2023,22:05:25,242.05,0.4,86.1,5670,50,1,0,0.05,0.01,3.1,0,0,0.01,0
14/09/2023,22:05:26,242.07,0.43,92.18,5670,50,1,0,0.07,0.04,8.66,0,0,0.01,0
14/09/2023,22:05:27,241.9,0.52,113.5,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:28,241.96,0.49,106.54,5670,50,1,0,0.05,0.02,5.88,0,0,0.01,0
14/09/2023,22:05:29,242,0.46,98.78,5670,50,1,0,0,0.02,5.36,0,0,0,0
14/09/2023,22:05:30,242,0.42,90.2,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:31,242,0.44,94.68,5670,50,1,0,0,0,1.24,0,0,0,0
14/09/2023,22:05:32,242,0.41,88.12,5670,50,1,0,0,0.03,6.66,0,0,0.01,0
14/09/2023,22:05:33,242,0.38,82.1,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:34,242,0.39,84.6,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:35,242,0.39,84.47,5670,50,1,0,0,0,0.1,0,0,0,0
14/09/2023,22:05:35,242,0.39,83.33,5670,50,1,0,0,0.01,1.83,0,0,0,0
14/09/2023,22:05:36,242,0.38,80.4,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:37,242,0.37,80.31,5670,50,1,0,0,0,0.03,0,0,0,0
14/09/2023,22:05:38,242,0.37,79.76,5670,50,1,0,0,0,0.46,0,0,0,0
14/09/2023,22:05:39,242,0.37,79.53,5670,50,1,0,0,0,0.49,0,0,0,0
14/09/2023,22:05:40,242,0.38,81.3,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:41,241.93,0.4,86.29,5670,50,1,0,0.05,0.01,3.11,0,0,0,0
14/09/2023,22:05:42,241.93,0.4,84.93,5670,50,1,0,0.05,0.02,4.64,0,0,0,0
14/09/2023,22:05:43,242,0.37,78.6,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:44,242,0.44,93.2,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:47,242,0.39,83.34,5670,50,1,0,0,0,0.41,0,0,0,0
14/09/2023,22:05:48,242.08,0.38,82.86,5670,50,1,0,0.1,0,0.3,0,0,0,0
14/09/2023,22:05:49,242.2,0.38,82.5,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:50,242.2,0.37,78.18,5670,50,1,0,0,0.01,2.24,0,0,0,0
14/09/2023,22:05:51,242.2,0.37,79.95,5670,50,1,0,0,0.01,3.15,0,0,0,0
14/09/2023,22:05:52,242.21,0.39,84.36,5670,50,1,0,0.04,0.01,3.06,0,0,0,0
14/09/2023,22:05:53,242.3,0.42,91.9,5670,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:54,242.22,0.41,87.58,5670,50,1,0,0.04,0.01,2.24,0,0,0,0
14/09/2023,22:05:55,242.22,0.4,85.96,5670.2,50,1,0,0.04,0.01,1.12,0.41,0,0,0
14/09/2023,22:05:56,242.3,0.39,83.8,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:05:57,242.3,0.36,77.56,5671,50,1,0,0,0.01,2.53,0,0,0.01,0
14/09/2023,22:05:57,242.25,0.38,81.72,5671,50,1,0,0.05,0.02,4.96,0,0,0.01,0
14/09/2023,22:05:58,242.18,0.4,85.62,5671,50,1,0,0.04,0.01,1.2,0,0,0,0
14/09/2023,22:05:59,242.1,0.39,83.3,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:00,242.19,0.35,76.19,5671,50,1,0,0.04,0.01,2.89,0,0,0,0
14/09/2023,22:06:01,242.17,0.35,75.13,5671,50,1,0,0.05,0,0.05,0,0,0.01,0
14/09/2023,22:06:02,242.1,0.36,75.2,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:03,242.19,0.36,77.72,5671,50,1,0,0.03,0,0.7,0,0,0.01,0
14/09/2023,22:06:04,242.14,0.35,74.18,5671,50,1,0,0.05,0.01,3.14,0,0,0.01,0
14/09/2023,22:06:05,242.13,0.34,73.22,5671,50,1,0,0.05,0.01,2.61,0,0,0,0
14/09/2023,22:06:06,242.2,0.36,77.4,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:07,242.33,0.37,80.2,5671,50,1,0,0.1,0.01,2.05,0,0,0,0
14/09/2023,22:06:08,242.4,0.36,78.33,5671,50,1,0,0,0.02,4.78,0,0,0.01,0
14/09/2023,22:06:08,242.4,0.34,71.8,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:09,242.5,0.33,71.2,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:10,242.43,0.33,71.27,5671,50,1,0,0.05,0,0.05,0,0,0,0
14/09/2023,22:06:11,242.4,0.33,71.35,5671,50,1,0,0,0,0.18,0,0,0,0
14/09/2023,22:06:12,242.4,0.34,72,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:13,242.4,0.36,76.84,5671,50,1,0,0,0.01,3.02,0,0,0,0
14/09/2023,22:06:14,242.4,0.36,78.32,5671,50,1,0,0,0,0.35,0,0,0,0
14/09/2023,22:06:15,242.4,0.36,78.33,5671,50,1,0,0,0.01,1.68,0,0,0,0
14/09/2023,22:06:16,242.4,0.39,84.4,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:17,242.35,0.39,84.55,5671,50,1,0,0.05,0,0.09,0,0,0.01,0
14/09/2023,22:06:18,242.3,0.39,83.73,5671,50,1,0,0,0.01,2.29,0,0,0.01,0
14/09/2023,22:06:19,242.3,0.37,78.1,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:19,242.14,0.35,75.3,5671,50,1,0,0.08,0.01,1.45,0,0,0,0
14/09/2023,22:06:20,242.1,0.35,74.04,5671,50,1,0,0,0,0.62,0,0,0,0
14/09/2023,22:06:21,242.1,0.34,73.16,5671,50,1,0,0,0,0.63,0,0,0,0
14/09/2023,22:06:22,242.1,0.34,71.6,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:23,242.05,0.36,76.72,5671,50,1,0,0.05,0.02,4.96,0,0,0.01,0
14/09/2023,22:06:24,242.02,0.37,79.54,5671,50,1,0,0.04,0.01,3.44,0,0,0,0
14/09/2023,22:06:25,242.1,0.34,72.9,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:26,242.1,0.37,79.23,5671,50,1,0,0,0.01,2.57,0,0,0,0
14/09/2023,22:06:27,242.1,0.36,78.44,5671,50,1,0,0,0.01,1.7,0,0,0,0
14/09/2023,22:06:28,242.1,0.36,76.9,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:29,242.1,0.34,73.35,5671,50,1,0,0,0,0.98,0,0,0,0
14/09/2023,22:06:30,242.1,0.35,74.96,5671,50,1,0,0,0.01,1.57,0,0,0,0
14/09/2023,22:06:30,242.1,0.35,75.4,5671,50,1,0,0,0,1.37,0,0,0,0
14/09/2023,22:06:31,242.1,0.35,73.2,5671,50,1,0,0,0,0,0,0,0,0
14/09/2023,22:06:32,242.19,0.35,76.19,5671,50,1,0,0.03,0,0.83,0,0,0.01,0
14/09/2023,22:06:33,242.2,0.37,78.73,5671,50,1,0,0,0.02,3.42,0,0,0,0
