Date,Time,Voltage,Current,Power,Energy,Frequency,power_factor,alarm,std_voltage,std_current,std_power,std_energy,std_frequency,std_power_factor,std_alarm,Label Phase
04/08/2023,0:41:42,244.5,0,0.71,3948,50,1,0,0,0,0.03,0,0,0,0,
04/08/2023,0:41:43,244.5,0,0.8,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:43,244.43,0,0.8,3948,50,1,0,0.05,0,0,0,0,0,0,
04/08/2023,0:41:44,244.47,0,0.77,3948,50,1,0,0.1,0,0.05,0,0,0,0,
04/08/2023,0:41:45,244.6,0,0.7,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:46,244.6,0,0.7,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:47,244.56,0,0.7,3948,50,1,0,0.05,0,0,0,0,0,0,
04/08/2023,0:41:48,244.5,0,0.7,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:49,244.5,0,0.7,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:50,244.5,0,0.7,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:51,244.49,0,0.7,3948,50,1,0,0.04,0,0,0,0,0,0,
04/08/2023,0:41:52,244.4,0,0.7,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:53,244.48,0,0.7,3948,50,1,0,0.04,0,0,0,0,0,0,
04/08/2023,0:41:53,244.46,0,0.7,3948,50,1,0,0.05,0,0,0,0,0,0,
04/08/2023,0:41:54,244.41,0,0.7,3948,50,1,0,0.03,0,0,0,0,0,0,
04/08/2023,0:41:55,244.5,0,0.7,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:56,244.5,0,0.7,3948,49.97,1,0,0,0,0,0,0.05,0,0,
04/08/2023,0:41:57,244.49,0,0.7,3948,49.99,1,0,0.04,0,0,0,0.04,0,0,
04/08/2023,0:41:58,244.4,0,0.7,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:41:59,244.4,0,0.78,3948,49.95,1,0,0,0,0.04,0,0.05,0,0,
04/08/2023,0:42:00,244.45,0,0.8,3948,50,1,0,0.05,0,0,0,0,0,0,
04/08/2023,0:42:01,244.5,0,0.79,3948,49.97,1,0,0,0,0.03,0,0.05,0,0,
04/08/2023,0:42:02,244.41,0,0.7,3948,49.95,1,0,0.04,0,0,0,0.05,0,0,
04/08/2023,0:42:03,244.4,0,0.7,3948,49.98,1,0,0,0,0,0,0.04,0,0,
04/08/2023,0:42:04,244.4,0,0.7,3948,49.99,1,0,0,0,0,0,0.04,0,0,
04/08/2023,0:42:04,244.4,0,0.7,3948,49.97,1,0,0,0,0,0,0.05,0,0,
04/08/2023,0:42:05,244.48,0,0.78,3948,49.97,1,0,0.04,0,0.04,0,0.05,0,0,
04/08/2023,0:42:06,244.45,0,1.08,3948,49.97,1,0,0.05,0,0.31,0,0.05,0,0,
04/08/2023,0:42:07,244.4,0,1.4,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:42:08,244.49,0,1.49,3948,49.95,1,0,0.04,0,0.04,0,0.05,0,0,
04/08/2023,0:42:09,244.45,0,1.45,3948,49.98,1,0,0.05,0,0.05,0,0.04,0,0,
04/08/2023,0:42:10,244.42,0,1.4,3948,50,1,0,0.04,0,0,0,0,0,0,
04/08/2023,0:42:11,244.5,0,1.4,3948,49.98,1,0,0,0,0,0,0.04,0,0,
04/08/2023,0:42:12,244.5,0,1.4,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:42:13,244.5,0,1.4,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:42:14,244.5,0,1.4,3948,50,1,0,0,0,0,0,0,0,0,
04/08/2023,0:42:14,244.5,0.02,4.29,3948,50,0.73,0,0,0.01,0.8,0,0,0.07,0,
04/08/2023,0:42:15,244.45,0.03,6.47,3948,50,0.8,0,0.05,0.01,1.91,0,0,0.09,0,
04/08/2023,0:42:16,244.42,0.04,8.2,3948,50,0.88,0,0.04,0,0,0,0,0,0,
04/08/2023,0:42:17,244.5,0.04,8.2,3948,50,0.88,0,0,0,0,0,0,0,0,
04/08/2023,0:42:18,244.26,0.45,99.16,3948,50,0.89,0,0.2,0.35,76.88,0,0,0.01,0,
04/08/2023,0:42:19,244.15,0.63,142.68,3948,50,0.93,0,0.09,0.16,29.39,0,0,0.05,0,
04/08/2023,0:42:20,244.3,0.38,95.6,3948,50,1,0,0,0,0,0,0,0,0,
